"country","country_use","iso3_use","sector","gear","fishery","year","catch_mt","catch_prop","candidate"
"Algeria","Algeria","DZA","Industrial","bottom trawl","Algeria-Industrial-bottom trawl",2014,25632.4328709555,0.000364307072241491,"no"
"Algeria","Algeria","DZA","Industrial","longline","Algeria-Industrial-longline",2014,917.0000000174,1.30330814454341e-05,"no"
"Algeria","Algeria","DZA","Industrial","purse seine","Algeria-Industrial-purse seine",2014,53342.0127797452,0.000758136092702962,"no"
"Algeria","Algeria","DZA","Industrial","unknown class","Algeria-Industrial-unknown class",2014,4565.7144060464,6.48913061171925e-05,"no"
"American Samoa","American Samoa","ASM","Industrial","longline","American Samoa-Industrial-longline",2014,58.8857449215,8.36927709402843e-07,"no"
"Angola","Angola","AGO","Artisanal","bagnets","Angola-Artisanal-bagnets",2014,15456.5076655329,0.000219679305630365,"yes"
"Angola","Angola","AGO","Artisanal","cast nets","Angola-Artisanal-cast nets",2014,12854.4652957836,0.000182697157180235,"yes"
"Angola","Angola","AGO","Artisanal","hand or tools","Angola-Artisanal-hand or tools",2014,343.0041348051,4.87502816243262e-06,"yes"
"Angola","Angola","AGO","Artisanal","harpoon","Angola-Artisanal-harpoon",2014,1012.428538641,1.43893823353758e-05,"no"
"Angola","Angola","AGO","Artisanal","small scale encircling nets","Angola-Artisanal-small scale encircling nets",2014,31790.3942842601,0.000451828569118172,"no"
"Angola","Angola","AGO","Artisanal","small scale gillnets","Angola-Artisanal-small scale gillnets",2014,49509.7077536484,0.00070366854250894,"no"
"Angola","Angola","AGO","Artisanal","small scale lines","Angola-Artisanal-small scale lines",2014,60797.6220776626,0.000864100719969319,"yes"
"Angola","Angola","AGO","Artisanal","small scale other nets","Angola-Artisanal-small scale other nets",2014,458.6161077953,6.5181909323563e-06,"yes"
"Angola","Angola","AGO","Artisanal","small scale pots or traps","Angola-Artisanal-small scale pots or traps",2014,22349.2326684999,0.000317643805459094,"yes"
"Angola","Angola","AGO","Artisanal","small scale seine nets","Angola-Artisanal-small scale seine nets",2014,26765.9671693964,0.000380417699103534,"yes"
"Angola","Angola","AGO","Industrial","bottom trawl","Angola-Industrial-bottom trawl",2014,119730.534779268,0.00170169881270881,"no"
"Angola","Angola","AGO","Industrial","longline","Angola-Industrial-longline",2014,976.63586084,1.38806703561809e-05,"no"
"Angola","Angola","AGO","Industrial","pots or traps","Angola-Industrial-pots or traps",2014,954.6052727944,1.35675553635051e-05,"no"
"Angola","Angola","AGO","Industrial","purse seine","Angola-Industrial-purse seine",2014,77756.14001432,0.00110512770520173,"no"
"Anguilla (UK)","Anguilla","AIA","Artisanal","bagnets","Anguilla (UK)-Artisanal-bagnets",2014,0.7240679681,1.02909888768792e-08,"yes"
"Anguilla (UK)","Anguilla","AIA","Artisanal","hand or tools","Anguilla (UK)-Artisanal-hand or tools",2014,1.4600983915,2.07519970058951e-08,"yes"
"Anguilla (UK)","Anguilla","AIA","Artisanal","mixed gear","Anguilla (UK)-Artisanal-mixed gear",2014,0.0010332891,1.46858680444098e-11,"no"
"Anguilla (UK)","Anguilla","AIA","Artisanal","small scale gillnets","Anguilla (UK)-Artisanal-small scale gillnets",2014,0.1959780644,2.78538503249212e-09,"no"
"Anguilla (UK)","Anguilla","AIA","Artisanal","small scale lines","Anguilla (UK)-Artisanal-small scale lines",2014,0.5924418255,8.42022089779353e-09,"yes"
"Anguilla (UK)","Anguilla","AIA","Artisanal","small scale pots or traps","Anguilla (UK)-Artisanal-small scale pots or traps",2014,9.4497616665,1.34306993933587e-07,"yes"
"Anguilla (UK)","Anguilla","AIA","Artisanal","small scale seine nets","Anguilla (UK)-Artisanal-small scale seine nets",2014,3.429175204,4.87379713451987e-08,"yes"
"Anguilla (UK)","Anguilla","AIA","Subsistence","subsistence fishing gear","Anguilla (UK)-Subsistence-subsistence fishing gear",2014,2.1790684376,3.09705304491568e-08,"no"
"Antigua & Barbuda","Antigua & Barbuda","ATG","Artisanal","bagnets","Antigua & Barbuda-Artisanal-bagnets",2014,1.6933917589,2.40677346917687e-08,"yes"
"Antigua & Barbuda","Antigua & Barbuda","ATG","Artisanal","hand or tools","Antigua & Barbuda-Artisanal-hand or tools",2014,29.057603974,4.12988134345831e-07,"yes"
"Antigua & Barbuda","Antigua & Barbuda","ATG","Artisanal","pots or traps","Antigua & Barbuda-Artisanal-pots or traps",2014,4.2140170989,5.98927241672559e-08,"yes"
"Antigua & Barbuda","Antigua & Barbuda","ATG","Artisanal","small scale hand lines","Antigua & Barbuda-Artisanal-small scale hand lines",2014,2.6668444218,3.79031630871991e-08,"yes"
"Antigua & Barbuda","Antigua & Barbuda","ATG","Artisanal","small scale lines","Antigua & Barbuda-Artisanal-small scale lines",2014,7.1772097851,1.02007807719084e-07,"yes"
"Antigua & Barbuda","Antigua & Barbuda","ATG","Artisanal","small scale pots or traps","Antigua & Barbuda-Artisanal-small scale pots or traps",2014,33.7533594432,4.79727680122019e-07,"yes"
"Antigua & Barbuda","Antigua & Barbuda","ATG","Artisanal","small scale seine nets","Antigua & Barbuda-Artisanal-small scale seine nets",2014,15.1221567131,2.14927262888453e-07,"yes"
"Antigua & Barbuda","Antigua & Barbuda","ATG","Recreational","recreational fishing gear","Antigua & Barbuda-Recreational-recreational fishing gear",2014,5.7047131681,8.10795979730394e-08,"no"
"Antigua & Barbuda","Antigua & Barbuda","ATG","Subsistence","subsistence fishing gear","Antigua & Barbuda-Subsistence-subsistence fishing gear",2014,25.6455639999,3.64493701546836e-07,"no"
"Argentina","Argentina","ARG","Artisanal","cast nets","Argentina-Artisanal-cast nets",2014,1.2182305936,1.7314393179288e-08,"yes"
"Argentina","Argentina","ARG","Artisanal","hand or tools","Argentina-Artisanal-hand or tools",2014,33445.4242473867,0.000475351077628154,"yes"
"Argentina","Argentina","ARG","Artisanal","harpoon","Argentina-Artisanal-harpoon",2014,1153.265958397,1.63910677903485e-05,"no"
"Argentina","Argentina","ARG","Artisanal","small scale encircling nets","Argentina-Artisanal-small scale encircling nets",2014,145.8836725418,2.07340652754661e-06,"no"
"Argentina","Argentina","ARG","Artisanal","small scale gillnets","Argentina-Artisanal-small scale gillnets",2014,51182.4975480515,0.00072744346686132,"no"
"Argentina","Argentina","ARG","Artisanal","small scale hand lines","Argentina-Artisanal-small scale hand lines",2014,8040.9544412789,0.000114283984874836,"yes"
"Argentina","Argentina","ARG","Artisanal","small scale lines","Argentina-Artisanal-small scale lines",2014,230.5040564842,3.27609393850003e-06,"yes"
"Argentina","Argentina","ARG","Artisanal","small scale longline","Argentina-Artisanal-small scale longline",2014,6366.7180384079,9.04885002542097e-05,"yes"
"Argentina","Argentina","ARG","Artisanal","small scale pots or traps","Argentina-Artisanal-small scale pots or traps",2014,3696.1832063752,5.25328863304469e-05,"yes"
"Argentina","Argentina","ARG","Artisanal","small scale purse seine","Argentina-Artisanal-small scale purse seine",2014,1699.7883340475,2.41586475433146e-05,"no"
"Argentina","Argentina","ARG","Artisanal","small scale seine nets","Argentina-Artisanal-small scale seine nets",2014,39666.5368227678,0.000563770125473975,"yes"
"Argentina","Argentina","ARG","Industrial","bottom trawl","Argentina-Industrial-bottom trawl",2014,304197.475227273,0.00432347924760878,"no"
"Argentina","Argentina","ARG","Industrial","longline","Argentina-Industrial-longline",2014,139051.190095647,0.00197629823944027,"no"
"Argentina","Argentina","ARG","Industrial","pelagic trawl","Argentina-Industrial-pelagic trawl",2014,12290.9693795912,0.000174688336929672,"no"
"Argentina","Argentina","ARG","Industrial","shrimp trawl","Argentina-Industrial-shrimp trawl",2014,127322.998639986,0.00180960851812469,"no"
"Argentina","Argentina","ARG","Industrial","unknown class","Argentina-Industrial-unknown class",2014,23278.6967891618,0.000330854036195153,"no"
"Aruba (Netherlands)",NA,NA,"Artisanal","small scale gillnets","Aruba (Netherlands)-Artisanal-small scale gillnets",2014,31.5482961443,4.48387691500039e-07,"no"
"Aruba (Netherlands)",NA,NA,"Artisanal","small scale lines","Aruba (Netherlands)-Artisanal-small scale lines",2014,37.1487049483,5.27984838794339e-07,"yes"
"Aruba (Netherlands)",NA,NA,"Artisanal","small scale pots or traps","Aruba (Netherlands)-Artisanal-small scale pots or traps",2014,50.1121371519,7.12230714169123e-07,"yes"
"Aruba (Netherlands)",NA,NA,"Artisanal","small scale seine nets","Aruba (Netherlands)-Artisanal-small scale seine nets",2014,23.1908617392,3.29605659575857e-07,"yes"
"Australia","Australia","AUS","Artisanal","artisanal fishing gear","Australia-Artisanal-artisanal fishing gear",2014,4367.1741289966,6.20695050256549e-05,"no"
"Australia","Australia","AUS","Artisanal","dredge","Australia-Artisanal-dredge",2014,23.0319717297,3.27347397378867e-07,"no"
"Australia","Australia","AUS","Artisanal","hand or tools","Australia-Artisanal-hand or tools",2014,4583.8439001317,6.51489758805227e-05,"yes"
"Australia","Australia","AUS","Artisanal","small scale gillnets","Australia-Artisanal-small scale gillnets",2014,2105.8883981681,2.99304416660838e-05,"no"
"Australia","Australia","AUS","Artisanal","small scale hand lines","Australia-Artisanal-small scale hand lines",2014,215.3876892485,3.06124895994143e-06,"yes"
"Australia","Australia","AUS","Artisanal","small scale lines","Australia-Artisanal-small scale lines",2014,595.5442853413,8.46431534903899e-06,"yes"
"Australia","Australia","AUS","Artisanal","small scale longline","Australia-Artisanal-small scale longline",2014,1098.0177933083,1.56058400528369e-05,"yes"
"Australia","Australia","AUS","Artisanal","small scale other nets","Australia-Artisanal-small scale other nets",2014,8.8288732774,1.25482469458656e-07,"yes"
"Australia","Australia","AUS","Artisanal","small scale pots or traps","Australia-Artisanal-small scale pots or traps",2014,9492.9323786287,0.000134920567987262,"yes"
"Australia","Australia","AUS","Artisanal","small scale purse seine","Australia-Artisanal-small scale purse seine",2014,7043.307528379,0.000100104689924603,"no"
"Australia","Australia","AUS","Artisanal","small scale seine nets","Australia-Artisanal-small scale seine nets",2014,1481.3509882871,2.10540546120543e-05,"yes"
"Australia","Australia","AUS","Industrial","bottom trawl","Australia-Industrial-bottom trawl",2014,39095.0869159627,0.000555648257232715,"no"
"Australia","Australia","AUS","Industrial","gillnet","Australia-Industrial-gillnet",2014,5395.7302917717,7.66881050697081e-05,"no"
"Australia","Australia","AUS","Industrial","longline","Australia-Industrial-longline",2014,9700.0548483416,0.000137864345541129,"no"
"Australia","Australia","AUS","Industrial","other","Australia-Industrial-other",2014,1.5769722074,2.2413094019455e-08,"no"
"Australia","Australia","AUS","Industrial","pelagic trawl","Australia-Industrial-pelagic trawl",2014,1122.8544383544,1.59588368006133e-05,"no"
"Australia","Australia","AUS","Industrial","pole and line","Australia-Industrial-pole and line",2014,5.4973037041,7.8131741444343e-08,"no"
"Australia","Australia","AUS","Industrial","purse seine","Australia-Industrial-purse seine",2014,25427.1969596015,0.000361390107848739,"no"
"Australia","Australia","AUS","Industrial","unknown class","Australia-Industrial-unknown class",2014,6861.9867269296,9.75276247414008e-05,"no"
"Bahamas","Bahamas","BHS","Artisanal","bagnets","Bahamas-Artisanal-bagnets",2014,1.6062761781,2.28295836997173e-08,"yes"
"Bahamas","Bahamas","BHS","Artisanal","hand or tools","Bahamas-Artisanal-hand or tools",2014,4044.1530990951,5.74784915128802e-05,"yes"
"Bahamas","Bahamas","BHS","Artisanal","small scale gillnets","Bahamas-Artisanal-small scale gillnets",2014,9.2248307201,1.31110109152808e-07,"no"
"Bahamas","Bahamas","BHS","Artisanal","small scale lines","Bahamas-Artisanal-small scale lines",2014,60.5397043424,8.60435002575824e-07,"yes"
"Bahamas","Bahamas","BHS","Artisanal","small scale pots or traps","Bahamas-Artisanal-small scale pots or traps",2014,751.1144023289,1.0675392781031e-05,"yes"
"Bahamas","Bahamas","BHS","Artisanal","small scale seine nets","Bahamas-Artisanal-small scale seine nets",2014,258.7333456627,3.67730945104433e-06,"yes"
"Bahamas","Bahamas","BHS","Industrial","other","Bahamas-Industrial-other",2014,5981.3098685429,8.50107946189961e-05,"no"
"Bahrain","Bahrain","BHR","Artisanal","artisanal fishing gear","Bahrain-Artisanal-artisanal fishing gear",2014,13.3955844426,1.90387942253308e-07,"no"
"Bahrain","Bahrain","BHR","Artisanal","bagnets","Bahrain-Artisanal-bagnets",2014,1547.0750354333,2.19881733245556e-05,"yes"
"Bahrain","Bahrain","BHR","Artisanal","cast nets","Bahrain-Artisanal-cast nets",2014,161.3242960212,2.29286007538902e-06,"yes"
"Bahrain","Bahrain","BHR","Artisanal","hand or tools","Bahrain-Artisanal-hand or tools",2014,43.5770167995,6.19348755819148e-07,"yes"
"Bahrain","Bahrain","BHR","Artisanal","small scale encircling nets","Bahrain-Artisanal-small scale encircling nets",2014,252.7928389577,3.59287858112945e-06,"no"
"Bahrain","Bahrain","BHR","Artisanal","small scale gillnets","Bahrain-Artisanal-small scale gillnets",2014,4996.3538993955,7.10118727369666e-05,"no"
"Bahrain","Bahrain","BHR","Artisanal","small scale lines","Bahrain-Artisanal-small scale lines",2014,1477.2550556453,2.09958401914277e-05,"yes"
"Bahrain","Bahrain","BHR","Artisanal","small scale other nets","Bahrain-Artisanal-small scale other nets",2014,54.4206836539,7.73466960048012e-07,"yes"
"Bahrain","Bahrain","BHR","Artisanal","small scale pots or traps","Bahrain-Artisanal-small scale pots or traps",2014,7083.600432537,0.000100677362445382,"yes"
"Bahrain","Bahrain","BHR","Artisanal","small scale seine nets","Bahrain-Artisanal-small scale seine nets",2014,224.7051575857,3.19367570334566e-06,"yes"
"Bangladesh","Bangladesh","BGD","Artisanal","artisanal fishing gear","Bangladesh-Artisanal-artisanal fishing gear",2014,2034.504166908,2.89158762354242e-05,"no"
"Bangladesh","Bangladesh","BGD","Artisanal","bagnets","Bangladesh-Artisanal-bagnets",2014,25943.566176609,0.000368729128635049,"yes"
"Bangladesh","Bangladesh","BGD","Artisanal","cast nets","Bangladesh-Artisanal-cast nets",2014,4320.815621522,6.14106236695003e-05,"yes"
"Bangladesh","Bangladesh","BGD","Artisanal","hand or tools","Bangladesh-Artisanal-hand or tools",2014,8039.305694794,0.000114260551671761,"yes"
"Bangladesh","Bangladesh","BGD","Artisanal","small scale encircling nets","Bangladesh-Artisanal-small scale encircling nets",2014,81833.411138238,0.00116307689454974,"no"
"Bangladesh","Bangladesh","BGD","Artisanal","small scale gillnets","Bangladesh-Artisanal-small scale gillnets",2014,229789.79068618,0.0032659422653058,"no"
"Bangladesh","Bangladesh","BGD","Artisanal","small scale lines","Bangladesh-Artisanal-small scale lines",2014,25865.384562635,0.000367617953779608,"yes"
"Bangladesh","Bangladesh","BGD","Artisanal","small scale other nets","Bangladesh-Artisanal-small scale other nets",2014,13431.063551802,0.000190892197563921,"yes"
"Bangladesh","Bangladesh","BGD","Artisanal","small scale pots or traps","Bangladesh-Artisanal-small scale pots or traps",2014,71789.659033066,0.00102032766968391,"yes"
"Bangladesh","Bangladesh","BGD","Artisanal","small scale seine nets","Bangladesh-Artisanal-small scale seine nets",2014,59902.671878086,0.000851381026577315,"yes"
"Bangladesh","Bangladesh","BGD","Industrial","bottom trawl","Bangladesh-Industrial-bottom trawl",2014,72434.827440144,0.00102949727971151,"no"
"Barbados","Barbados","BRB","Artisanal","bagnets","Barbados-Artisanal-bagnets",2014,2.6558733142,3.77472336009454e-08,"yes"
"Barbados","Barbados","BRB","Artisanal","hand or tools","Barbados-Artisanal-hand or tools",2014,2.8053226571,3.98713180698061e-08,"yes"
"Barbados","Barbados","BRB","Artisanal","mixed gear","Barbados-Artisanal-mixed gear",2014,0.0018533377,2.63410045687407e-11,"no"
"Barbados","Barbados","BRB","Artisanal","small scale gillnets","Barbados-Artisanal-small scale gillnets",2014,92.4847714663,1.31446189635745e-06,"no"
"Barbados","Barbados","BRB","Artisanal","small scale lines","Barbados-Artisanal-small scale lines",2014,110.4605398829,1.56994679691728e-06,"yes"
"Barbados","Barbados","BRB","Artisanal","small scale pots or traps","Barbados-Artisanal-small scale pots or traps",2014,63.3476631278,9.00343787248502e-07,"yes"
"Barbados","Barbados","BRB","Artisanal","small scale seine nets","Barbados-Artisanal-small scale seine nets",2014,28.5786521779,4.06180917588045e-07,"yes"
"Barbados","Barbados","BRB","Industrial","gillnet","Barbados-Industrial-gillnet",2014,495.4977998923,7.04238078724889e-06,"no"
"Barbados","Barbados","BRB","Industrial","hand lines","Barbados-Industrial-hand lines",2014,7.9153615063,1.12498965299569e-07,"no"
"Barbados","Barbados","BRB","Industrial","lines","Barbados-Industrial-lines",2014,157.3000452728,2.23566445078733e-06,"no"
"Barbados","Barbados","BRB","Industrial","longline","Barbados-Industrial-longline",2014,43.0444217784,6.1177912191806e-07,"no"
"Barbados","Barbados","BRB","Industrial","purse seine","Barbados-Industrial-purse seine",2014,3.1218359274,4.43698384954357e-08,"no"
"Belgium","Belgium","BEL","Industrial","beam trawl","Belgium-Industrial-beam trawl",2014,14787.7088664324,0.000210173843014095,"no"
"Belgium","Belgium","BEL","Industrial","bottom trawl","Belgium-Industrial-bottom trawl",2014,7683.1529585671,0.000109198645872228,"no"
"Belgium","Belgium","BEL","Industrial","other","Belgium-Industrial-other",2014,326.8030407423,4.64476624485181e-06,"no"
"Belgium","Belgium","BEL","Industrial","otter trawl","Belgium-Industrial-otter trawl",2014,1308.0612067554,1.85911322169384e-05,"no"
"Belgium","Belgium","BEL","Industrial","pelagic trawl","Belgium-Industrial-pelagic trawl",2014,26.999999433,3.83743938528121e-07,"no"
"Belgium","Belgium","BEL","Industrial","pots or traps","Belgium-Industrial-pots or traps",2014,420.6302755184,5.97830822152965e-06,"no"
"Belgium","Belgium","BEL","Industrial","shrimp trawl","Belgium-Industrial-shrimp trawl",2014,1269.7559186056,1.80467091632441e-05,"no"
"Belize","Belize","BLZ","Artisanal","hand or tools","Belize-Artisanal-hand or tools",2014,2151.9999997777,3.05858138136803e-05,"yes"
"Belize","Belize","BLZ","Artisanal","small scale gillnets","Belize-Artisanal-small scale gillnets",2014,112.213941159,1.59486743120027e-06,"no"
"Belize","Belize","BLZ","Artisanal","small scale longline","Belize-Artisanal-small scale longline",2014,0.6310201359,8.96852434540629e-09,"yes"
"Belize","Belize","BLZ","Artisanal","small scale other nets","Belize-Artisanal-small scale other nets",2014,5.9316314191,8.43047277949394e-08,"yes"
"Belize","Belize","BLZ","Artisanal","small scale pole lines","Belize-Artisanal-small scale pole lines",2014,46.2889851355,6.57893253310812e-07,"yes"
"Belize","Belize","BLZ","Artisanal","small scale pots or traps","Belize-Artisanal-small scale pots or traps",2014,649.9999999327,9.23828019465029e-06,"yes"
"Belize","Belize","BLZ","Artisanal","small scale seine nets","Belize-Artisanal-small scale seine nets",2014,15.9344221319,2.26471779091647e-07,"yes"
"Belize","Belize","BLZ","Industrial","bottom trawl","Belize-Industrial-bottom trawl",2014,3341.9154041633,4.74977706056541e-05,"no"
"Belize","Belize","BLZ","Industrial","longline","Belize-Industrial-longline",2014,118.3653570469,1.68229589823432e-06,"no"
"Belize","Belize","BLZ","Industrial","mixed gear","Belize-Industrial-mixed gear",2014,0.0001379053,1.96001200286033e-12,"no"
"Belize","Belize","BLZ","Industrial","pelagic trawl","Belize-Industrial-pelagic trawl",2014,350621.007186709,0.00498328477977952,"no"
"Belize","Belize","BLZ","Industrial","purse seine","Belize-Industrial-purse seine",2014,2611.414153845,3.71153471692209e-05,"no"
"Belize","Belize","BLZ","Industrial","shrimp trawl","Belize-Industrial-shrimp trawl",2014,64.9903079432,9.23690268889311e-07,"no"
"Belize","Belize","BLZ","Industrial","unknown class","Belize-Industrial-unknown class",2014,53615.7693368425,0.0007620269231335,"no"
"Benin","Benin","BEN","Artisanal","bagnets","Benin-Artisanal-bagnets",2014,441.6359165258,6.27685590970609e-06,"yes"
"Benin","Benin","BEN","Artisanal","cast nets","Benin-Artisanal-cast nets",2014,542.6566279913,7.7126368913643e-06,"yes"
"Benin","Benin","BEN","Artisanal","hand or tools","Benin-Artisanal-hand or tools",2014,8.5766393498,1.21897534538645e-07,"yes"
"Benin","Benin","BEN","Artisanal","harpoon","Benin-Artisanal-harpoon",2014,3.0543491272,4.3410666234278e-08,"no"
"Benin","Benin","BEN","Artisanal","small scale encircling nets","Benin-Artisanal-small scale encircling nets",2014,1844.2797934647,2.62122669094196e-05,"no"
"Benin","Benin","BEN","Artisanal","small scale gillnets","Benin-Artisanal-small scale gillnets",2014,3574.394424374,5.08019341876642e-05,"no"
"Benin","Benin","BEN","Artisanal","small scale lines","Benin-Artisanal-small scale lines",2014,3433.7989196651,4.88036870080587e-05,"yes"
"Benin","Benin","BEN","Artisanal","small scale other nets","Benin-Artisanal-small scale other nets",2014,8.5766393498,1.21897534538645e-07,"yes"
"Benin","Benin","BEN","Artisanal","small scale pots or traps","Benin-Artisanal-small scale pots or traps",2014,563.0427966582,8.00238018099465e-06,"yes"
"Benin","Benin","BEN","Artisanal","small scale seine nets","Benin-Artisanal-small scale seine nets",2014,2945.400730669,4.18622111357927e-05,"yes"
"Benin","Benin","BEN","Industrial","shrimp trawl","Benin-Industrial-shrimp trawl",2014,990.239648866,1.40740174415745e-05,"no"
"Bonaire (Netherlands)","Netherlands","NLD","Artisanal","bagnets","Bonaire (Netherlands)-Artisanal-bagnets",2014,1.0802241766,1.53529440269222e-08,"yes"
"Bonaire (Netherlands)","Netherlands","NLD","Artisanal","hand or tools","Bonaire (Netherlands)-Artisanal-hand or tools",2014,0.9344007322,1.32803935062212e-08,"yes"
"Bonaire (Netherlands)","Netherlands","NLD","Artisanal","small scale gillnets","Bonaire (Netherlands)-Artisanal-small scale gillnets",2014,39.6096503049,5.62961612256414e-07,"no"
"Bonaire (Netherlands)","Netherlands","NLD","Artisanal","small scale lines","Bonaire (Netherlands)-Artisanal-small scale lines",2014,43.8802632861,6.23658718913831e-07,"yes"
"Bonaire (Netherlands)","Netherlands","NLD","Artisanal","small scale pots or traps","Bonaire (Netherlands)-Artisanal-small scale pots or traps",2014,14.7472020236,2.09598129838825e-07,"yes"
"Bonaire (Netherlands)","Netherlands","NLD","Artisanal","small scale seine nets","Bonaire (Netherlands)-Artisanal-small scale seine nets",2014,5.7911779135,8.23084988115732e-08,"yes"
"Bonaire (Netherlands)","Netherlands","NLD","Subsistence","subsistence fishing gear","Bonaire (Netherlands)-Subsistence-subsistence fishing gear",2014,19.4163090095,2.75958927683455e-07,"no"
"Bosnia & Herzegovina","Bosnia & Herzegovina","BIH","Artisanal","small scale encircling nets","Bosnia & Herzegovina-Artisanal-small scale encircling nets",2014,0.0297322021,4.22576021280322e-10,"no"
"Bosnia & Herzegovina","Bosnia & Herzegovina","BIH","Artisanal","small scale gillnets","Bosnia & Herzegovina-Artisanal-small scale gillnets",2014,4.4723493705,6.35643332574226e-08,"no"
"Bosnia & Herzegovina","Bosnia & Herzegovina","BIH","Artisanal","small scale lines","Bosnia & Herzegovina-Artisanal-small scale lines",2014,0.1402083653,1.99274486832215e-09,"yes"
"Bosnia & Herzegovina","Bosnia & Herzegovina","BIH","Artisanal","small scale pots or traps","Bosnia & Herzegovina-Artisanal-small scale pots or traps",2014,0.3577100605,5.08403964259456e-09,"yes"
"Brazil","Brazil","BRA","Artisanal","cast nets","Brazil-Artisanal-cast nets",2014,2266.1468774328,3.22081535663441e-05,"yes"
"Brazil","Brazil","BRA","Artisanal","hand or tools","Brazil-Artisanal-hand or tools",2014,20023.3510078956,0.000284586657024501,"yes"
"Brazil","Brazil","BRA","Artisanal","small scale encircling nets","Brazil-Artisanal-small scale encircling nets",2014,12756.787654234,0.000181308890377956,"no"
"Brazil","Brazil","BRA","Artisanal","small scale gillnets","Brazil-Artisanal-small scale gillnets",2014,111459.731516521,0.00158414804657959,"no"
"Brazil","Brazil","BRA","Artisanal","small scale lines","Brazil-Artisanal-small scale lines",2014,76845.5004734097,0.00109218502329999,"yes"
"Brazil","Brazil","BRA","Artisanal","small scale pots or traps","Brazil-Artisanal-small scale pots or traps",2014,18983.1674771653,0.000269802800237205,"yes"
"Brazil","Brazil","BRA","Artisanal","small scale seine nets","Brazil-Artisanal-small scale seine nets",2014,20575.2997220519,0.000292431359909087,"yes"
"Brazil","Brazil","BRA","Industrial","bottom trawl","Brazil-Industrial-bottom trawl",2014,61402.4097869823,0.000872696409688634,"no"
"Brazil","Brazil","BRA","Industrial","gillnet","Brazil-Industrial-gillnet",2014,53256.9088889498,0.000756926533335417,"no"
"Brazil","Brazil","BRA","Industrial","hand lines","Brazil-Industrial-hand lines",2014,1988.1906275846,2.82576339998552e-05,"no"
"Brazil","Brazil","BRA","Industrial","lines","Brazil-Industrial-lines",2014,3271.4943105647,4.64968939989696e-05,"no"
"Brazil","Brazil","BRA","Industrial","longline","Brazil-Industrial-longline",2014,7667.4900623434,0.000108976033219937,"no"
"Brazil","Brazil","BRA","Industrial","otter trawl","Brazil-Industrial-otter trawl",2014,6262.1377395443,8.90021277867601e-05,"no"
"Brazil","Brazil","BRA","Industrial","pole and line","Brazil-Industrial-pole and line",2014,24749.2756304885,0.000351754989096548,"no"
"Brazil","Brazil","BRA","Industrial","purse seine","Brazil-Industrial-purse seine",2014,96002.9411862721,0.00136446472350945,"no"
"Brazil","Brazil","BRA","Industrial","shrimp trawl","Brazil-Industrial-shrimp trawl",2014,9262.5604002451,0.000131646351240302,"no"
"British Virgin Isl. (UK)","British Virgin Islands","VGB","Artisanal","bagnets","British Virgin Isl. (UK)-Artisanal-bagnets",2014,4.3680262628,6.20816161807933e-08,"yes"
