"country","country_use","iso3_use","sector","gear","fishery","year","catch_mt","catch_prop","candidate"
"Albania","Albania","ALB","Artisanal","other","Albania-Artisanal-other",2014,429.0919810767,6.09857223211472e-06,"no"
"Albania","Albania","ALB","Artisanal","small scale pots or traps","Albania-Artisanal-small scale pots or traps",2014,0.9499999999,1.35021018229271e-08,"yes"
"Albania","Albania","ALB","Industrial","bottom trawl","Albania-Industrial-bottom trawl",2014,2862.8466367542,4.0688891365209e-05,"no"
"Albania","Albania","ALB","Industrial","pelagic trawl","Albania-Industrial-pelagic trawl",2014,350.3367036622,4.97924404805642e-06,"no"
"Albania","Albania","ALB","Industrial","purse seine","Albania-Industrial-purse seine",2014,216.0389820366,3.07050561419658e-06,"no"
"Albania","Albania","ALB","Subsistence","subsistence fishing gear","Albania-Subsistence-subsistence fishing gear",2014,22.6337884778,3.2168812284002e-07,"no"
"Algeria","Algeria","DZA","Artisanal","bagnets","Algeria-Artisanal-bagnets",2014,951.8283881624,1.3528088227657e-05,"yes"
"Algeria","Algeria","DZA","Artisanal","cast nets","Algeria-Artisanal-cast nets",2014,1119.0430028957,1.59046658641288e-05,"yes"
"Algeria","Algeria","DZA","Artisanal","hand or tools","Algeria-Artisanal-hand or tools",2014,14.6478735927,2.08186400798757e-07,"yes"
"Algeria","Algeria","DZA","Artisanal","harpoon","Algeria-Artisanal-harpoon",2014,0.6043714151,8.58977303832183e-09,"no"
"Algeria","Algeria","DZA","Artisanal","small scale encircling nets","Algeria-Artisanal-small scale encircling nets",2014,3049.8014108249,4.33460307294729e-05,"no"
"Algeria","Algeria","DZA","Artisanal","small scale gillnets","Algeria-Artisanal-small scale gillnets",2014,4251.2693662711,6.04221809117111e-05,"no"
"Algeria","Algeria","DZA","Artisanal","small scale lines","Algeria-Artisanal-small scale lines",2014,2480.37878442,3.52529756949393e-05,"yes"
"Algeria","Algeria","DZA","Artisanal","small scale other nets","Algeria-Artisanal-small scale other nets",2014,25.0252667715,3.55677579084501e-07,"yes"
"Algeria","Algeria","DZA","Artisanal","small scale pots or traps","Algeria-Artisanal-small scale pots or traps",2014,1154.1287419363,1.64033303074011e-05,"yes"
"Algeria","Algeria","DZA","Artisanal","small scale seine nets","Algeria-Artisanal-small scale seine nets",2014,1897.146650855,2.69636497427008e-05,"yes"
