"fishing_sector","gear_type","year","catch_mt","catch_prop"
"Artisanal","artisanal fishing gear",2014,679960.660512444,0.00966410323662128
"Artisanal","bagnets",2014,1192939.74835356,0.0169549410027182
"Artisanal","bottom trawl",2014,46444.8801463174,0.000660108948373932
"Artisanal","cast nets",2014,416993.180149687,0.00592661513519993
"Artisanal","dragged gear",2014,8037.9139619953,0.000114240771337066
"Artisanal","dredge",2014,12519.9591557163,0.000177942908797015
"Artisanal","gillnet",2014,30609.7094858165,0.000435047804517071
"Artisanal","hand lines",2014,5643.7370665671,8.02129605711983e-05
"Artisanal","hand or tools",2014,869659.326538134,0.0123602408204338
"Artisanal","harpoon",2014,12697.0371113457,0.000180459671520969
"Artisanal","lines",2014,13327.9201679546,0.000189426247594221
"Artisanal","longline",2014,100.5261157989,1.42875142265578e-06
"Artisanal","mixed gear",2014,71414.6681269451,0.00101499802189691
"Artisanal","other",2014,249807.919358977,0.00355045469864582
"Artisanal","other nets",2014,353.3317888871,5.02181241192926e-06
"Artisanal","pole and line",2014,1609.313445185,2.28727515833482e-05
"Artisanal","pots or traps",2014,141467.759096825,0.0020106443033555
"Artisanal","purse seine",2014,178.9102925612,2.54280525008978e-06
"Artisanal","small encircling nets",2014,2390.3481399783,3.39733936648725e-05
"Artisanal","small scale encircling nets",2014,990741.364229913,0.0140811481909749
"Artisanal","small scale gillnets",2014,4420801.79594319,0.0628317010464076
"Artisanal","small scale hand lines",2014,1058440.8765826,0.0150433436743904
"Artisanal","small scale lines",2014,1722440.22503526,0.0244805929523996
"Artisanal","small scale longline",2014,285491.394487857,0.00405761460878976
"Artisanal","small scale other nets",2014,622572.15429927,0.00884845538984495
"Artisanal","small scale pole lines",2014,30797.0342991763,0.000437710203153083
"Artisanal","small scale pots or traps",2014,2800732.96796246,0.0398060860170934
"Artisanal","small scale purse seine",2014,285864.233697657,0.00406291367507905
"Artisanal","small scale seine nets",2014,1138866.32423178,0.0161864095516831
"Artisanal","small scale trammel net",2014,2232.5966037552,3.17313122911549e-05
"Artisanal","unknown by author",2014,47522.773404997,0.000675428763673375
"Artisanal","unknown class",2014,17309.9476465602,0.000246021763892627
"Industrial","artisanal fishing gear",2014,29910.4577971071,0.000425109522936227
"Industrial","beam trawl",2014,32590.7088668599,0.00046320323120846
"Industrial","bottom trawl",2014,17889121.9268104,0.254253416635766
"Industrial","dredge",2014,503909.105932109,0.00716192848264391
"Industrial","gillnet",2014,3092693.6192957,0.0439556464834139
"Industrial","hand lines",2014,134023.754631487,0.00190484461254297
"Industrial","lines",2014,143219.569951468,0.0020355423333938
"Industrial","longline",2014,1710346.98882802,0.0243087149453933
"Industrial","mixed gear",2014,596401.112971236,0.00847649321630773
"Industrial","other",2014,173408.457221313,0.00246460910168983
"Industrial","other industrial",2014,115981.528807771,0.00164841517021697
"Industrial","other nets",2014,184892.686939706,0.00262783145856556
"Industrial","otter trawl",2014,7570.1989462997,0.000107593260003699
"Industrial","pelagic trawl",2014,9507034.99113514,0.135121004734684
"Industrial","pole and line",2014,220269.41289301,0.00313063162281143
"Industrial","pots or traps",2014,194826.952697905,0.00276902458258382
"Industrial","purse seine",2014,13371493.9505322,0.190045550382889
"Industrial","shrimp trawl",2014,1173579.92047688,0.0166797848266206
"Industrial","small scale trammel net",2014,75.4480290767,1.07232312741053e-06
"Industrial","unknown by author",2014,285.9207288035,4.06371662525975e-06
"Industrial","unknown by source",2014,1804.6313325203,2.56487536916828e-05
"Industrial","unknown class",2014,3501031.02031786,0.0497592392910886
"Recreational","recreational fishing gear",2014,1380.457450395,1.96200811151723e-05
"Subsistence","small scale lines",2014,3078.0434546561,4.3747427520564e-05
"Subsistence","subsistence fishing gear",2014,590514.660674098,0.00839283060757076
